name,category,ring,channel,contact,date_contacted,follow_up_date,status,notes
YOUR aviation customers x5,Aviation,1,text,your phone,,,,Gate 1: first sale. Use the kit's text script
MMU airport neighbors (avionics/flight school/FBO),Aviation,1,in person,MMU,,,,Warm intros at the field
Swiss Chalet Bakery & Cafe,Eat,2,Instagram DM,@swisschaletbakery (~5.5k followers),,,,"159 South St, Morristown. Fresh cakes/pastries daily"
dan Bakery & Cafe,Eat,2,Instagram DM,@danbakerycafe (~1.8k followers),,,,"64 South St, Morristown"
The Artist Baker,Eat,2,Instagram DM / walk in,theartistbaker.com,,,,"16 Cattano Ave, Morristown. Boutique bakery"
Verrilli's Pizza and Bakery,Eat,2,walk in,Morristown,,,,Known for Spudnuts; owner-run since 1988
Hidden Gem Sports Collectibles,Shop,2,website / DM,hiddengemsportsnj.com,,,,Sports cards = classic Whatnot seller profile
Just Collect (card shop),Shop,2,phone,(732) 828-2261 · justcollect.com,,,,Serves Morristown collectors; PSA/SGC submissions
Market Street Mission (vintage),Shop,2,walk in,"25 George St, Morristown",,,,Vintage/estate goods
Alstede Farms,Eat,2,Sunday market,Morristown Farmers Market,,,,Market runs Sundays 8:30-1 · Spring & Morris lot
Jersey Girl Cheese,Eat,2,Sunday market,Morristown Farmers Market,,,,Artisan cheese - great live-show product
Pickle-Licious,Eat,2,Sunday market,Morristown Farmers Market,,,,Pickles on live video sell themselves
Bucha Booch,Eat,2,Sunday market,Morristown Farmers Market,,,,Kombucha maker
Bussin Butters,Eat,2,Sunday market,Morristown Farmers Market,,,,Flavored butters
Oldwick Soup Co.,Eat,2,Sunday market,Morristown Farmers Market,,,,Handcrafted soups
Coniglio's Old Fashioned,Eat,2,Sunday market,Morristown Farmers Market,,,,Returning vendor
Jeff's Organic Produce,Eat,2,Sunday market,Morristown Farmers Market,,,,Produce
Pineapple Pink,Shop,2,Sunday market,Morristown Farmers Market,,,,Pop-up vendor
Yuyuca Cheese Bread,Eat,2,Sunday market,Morristown Farmers Market,,,,Baked goods
WoodsEdge Farm,Eat,2,Sunday market,Morristown Farmers Market,,,,Farm goods
Small Whatnot sellers under 5k followers,Shop,3,Whatnot browse + Instagram,whatnot.com category pages,,,,Their pain: up to 8% + 2.9% per sale
